Value of variables for instance: 10att48
Variable X[i][j]
X[0][8] = 1
X[2][22] = 1
X[4][28] = 1
X[8][37] = 1
X[9][41] = 1
X[11][39] = 1
X[12][46] = 1
X[13][24] = 1
X[14][11] = 1
X[15][0] = 1
X[17][45] = 1
X[20][38] = 1
X[22][13] = 1
X[23][9] = 1
X[24][12] = 1
X[28][33] = 1
X[30][43] = 1
X[31][23] = 1
X[32][14] = 1
X[33][40] = 1
X[37][30] = 1
X[38][31] = 1
X[39][2] = 1
X[40][15] = 1
X[41][4] = 1
X[43][17] = 1
X[45][32] = 1
X[46][20] = 1

Variable y[i][j]
y[5][36] = 1
y[6][27] = 1
y[9][25] = 1
y[9][34] = 1
y[17][6] = 1
y[18][26] = 1
y[26][16] = 1
y[27][5] = 1
y[28][1] = 1
y[36][18] = 1

Variable w[i][j]
w[1][1] = 1
w[2][2] = 1
w[2][21] = 1
w[4][4] = 1
w[4][47] = 1
w[5][5] = 1
w[5][29] = 1
w[6][6] = 1
w[6][35] = 1
w[8][7] = 1
w[8][8] = 1
w[9][9] = 1
w[11][11] = 1
w[11][19] = 1
w[12][12] = 1
w[13][13] = 1
w[14][14] = 1
w[15][15] = 1
w[16][16] = 1
w[17][17] = 1
w[18][18] = 1
w[20][20] = 1
w[22][10] = 1
w[22][22] = 1
w[23][23] = 1
w[24][24] = 1
w[25][3] = 1
w[25][25] = 1
w[26][26] = 1
w[26][42] = 1
w[27][27] = 1
w[28][28] = 1
w[30][30] = 1
w[31][31] = 1
w[32][32] = 1
w[33][33] = 1
w[34][34] = 1
w[34][44] = 1
w[36][36] = 1
w[37][37] = 1
w[38][38] = 1
w[39][39] = 1
w[40][40] = 1
w[41][41] = 1
w[43][43] = 1
w[45][45] = 1
w[46][46] = 1

Variable f[i][j]
f[0][5] = 10
f[4][10] = 6
f[5][2] = 1
f[5][7] = 8
f[7][4] = 7
f[9][3] = 1
f[9][6] = 1
f[10][1] = 1
f[10][8] = 1
f[10][9] = 3

Value of variables for instance: 14st70
Variable X[i][j]
X[0][15] = 1
X[2][31] = 1
X[6][18] = 1
X[7][2] = 1
X[8][39] = 1
X[9][51] = 1
X[11][33] = 1
X[12][22] = 1
X[13][27] = 1
X[15][46] = 1
X[16][8] = 1
X[18][23] = 1
X[19][13] = 1
X[20][16] = 1
X[22][35] = 1
X[23][56] = 1
X[26][67] = 1
X[27][7] = 1
X[29][19] = 1
X[30][12] = 1
X[31][6] = 1
X[32][11] = 1
X[33][20] = 1
X[35][0] = 1
X[37][68] = 1
X[39][26] = 1
X[43][29] = 1
X[46][57] = 1
X[49][9] = 1
X[50][64] = 1
X[51][59] = 1
X[53][32] = 1
X[55][66] = 1
X[56][62] = 1
X[57][49] = 1
X[58][37] = 1
X[59][50] = 1
X[62][58] = 1
X[64][55] = 1
X[66][53] = 1
X[67][43] = 1
X[68][30] = 1

Variable y[i][j]
y[5][41] = 1
y[7][25] = 1
y[16][42] = 1
y[25][48] = 1
y[26][45] = 1
